y_true,y_pred_baseline,y_pred_credits,base_p_average,base_p_flop,base_p_hit,p_average,p_flop,p_hit,base_confidence,confidence,p_true_baseline,p_true_credits,delta_p_true,baseline_correct,credits_correct,transition,id,title,original_title,main_genre,budget,runtime,production_scale,talent_score,cast_size,crew_size,known_actor_count,possible_franchise_flag,director_name,runtime_bucket,budget_bucket,case_type
hit,flop,hit,0.258855051467374,0.41237050986619544,0.3287744386664306,0.07782169990075483,0.014087256317374813,0.9080910437818704,0.41237050986619544,0.9080910437818704,0.3287744386664306,0.9080910437818704,0.5793166051154399,0,1,wrong_to_correct,762,Monty Python and the Holy Grail,Monty Python and the Holy Grail,Adventure,400000,91.0,mid_scale,0.07608695652173912,19,16,0,1,Terry Gilliam,medium,budget_low,credits_rescue
hit,average,hit,0.39493043215683366,0.29833390063228277,0.3067356672108836,0.09655589924661494,0.021479130319607825,0.8819649704337772,0.39493043215683366,0.8819649704337772,0.3067356672108836,0.8819649704337772,0.5752293032228937,0,1,wrong_to_correct,408,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,Fantasy,1488423,83.0,indie,0.015217391304347825,13,105,0,0,David Hand,short,budget_low,credits_rescue
hit,flop,hit,0.30662502443390843,0.43262408525801505,0.2607508903080765,0.07014432523032536,0.09497719328546567,0.8348784814842091,0.43262408525801505,0.8348784814842091,0.2607508903080765,0.8348784814842091,0.5741275911761325,0,1,wrong_to_correct,43595,She Done Him Wrong,She Done Him Wrong,Comedy,200000,66.0,indie,0.0,14,4,0,0,Lowell Sherman,short,budget_low,credits_rescue
hit,average,hit,0.518519968440086,0.26585270207988015,0.21562732948003385,0.11289850940829003,0.15000663780682924,0.7370948527848807,0.518519968440086,0.7370948527848807,0.21562732948003385,0.7370948527848807,0.5214675233048469,0,1,wrong_to_correct,39254,Real Steel,Real Steel,Action,110000000,127.0,large_scale,0.32173913043478264,172,46,0,0,Shawn Levy,long,budget_high,credits_rescue
hit,flop,hit,0.4010343852750346,0.4727760301100218,0.12618958461494356,0.23221370590521279,0.16084809265800815,0.606938201436779,0.4727760301100218,0.606938201436779,0.12618958461494356,0.606938201436779,0.48074861682183545,0,1,wrong_to_correct,3062,42nd Street,42nd Street,Music,439000,89.0,indie,0.0,26,10,0,0,Lloyd Bacon,short,budget_low,credits_rescue
hit,flop,hit,0.37712537078972014,0.3812193181883618,0.24165531102191803,0.20398760566567492,0.07583317631579826,0.7201792180185268,0.3812193181883618,0.7201792180185268,0.24165531102191803,0.7201792180185268,0.47852390699660874,0,1,wrong_to_correct,395,AVP: Alien vs. Predator,AVP: Alien vs. Predator,Adventure,70000000,101.0,large_scale,0.3065217391304348,25,137,0,1,Paul W.S. Anderson,medium,budget_high,credits_rescue
hit,average,hit,0.3634539716428848,0.3457862033656741,0.29075982499144115,0.16282136746407178,0.0697076957790008,0.7674709367569275,0.3634539716428848,0.7674709367569275,0.29075982499144115,0.7674709367569275,0.4767111117654863,0,1,wrong_to_correct,270487,"Hail, Caesar!","Hail, Caesar!",Comedy,22000000,106.0,mid_scale,0.5145962732919254,87,19,3,0,Joel Coen,medium,budget_mid,credits_rescue
average,flop,hit,0.24797863504994486,0.4188217566036933,0.3331996083463619,0.012751488172148271,0.031350899425235876,0.9558976124026157,0.4188217566036933,0.9558976124026157,0.24797863504994486,0.012751488172148271,-0.23522714687779658,0,0,stable_wrong,28932,F.I.S.T.,F.I.S.T.,Drama,11,145.0,indie,0.1590062111801242,14,2,2,0,Norman Jewison,long,budget_low,high_confidence_failure
flop,hit,hit,0.09601810820358474,0.0802286242680024,0.8237532675284128,0.03813735669057548,0.01599885352541122,0.9458637897840134,0.8237532675284128,0.9458637897840134,0.0802286242680024,0.01599885352541122,-0.06422977074259117,0,0,stable_wrong,19,Metropolis,Metropolis,Drama,92620000,153.0,indie,0.0,21,22,0,1,Fritz Lang,long,budget_high,high_confidence_failure
average,average,hit,0.37889247947996774,0.2881160517593327,0.3329914687606995,0.08772691114274848,0.029747119860506342,0.8825259689967452,0.37889247947996774,0.8825259689967452,0.37889247947996774,0.08772691114274848,-0.29116556833721924,1,0,correct_to_wrong,329833,Zoolander 2,Zoolander 2,Comedy,50000000,100.0,indie,0.3180124223602484,124,17,4,1,Ben Stiller,medium,budget_high,high_confidence_failure
flop,hit,hit,0.15446724224000627,0.23797697696008255,0.6075557807999112,0.10795879507804852,0.07687533199055914,0.8151658729313924,0.6075557807999112,0.8151658729313924,0.23797697696008255,0.07687533199055914,-0.1611016449695234,0,0,stable_wrong,576,The Wild Bunch,The Wild Bunch,Adventure,6244087,145.0,indie,0.04565217391304347,44,34,0,0,Sam Peckinpah,long,budget_low,high_confidence_failure
average,hit,hit,0.14279607968526045,0.12141939728099949,0.7357845230337402,0.1056035239942478,0.0907785405682489,0.8036179354375033,0.7357845230337402,0.8036179354375033,0.14279607968526045,0.1056035239942478,-0.03719255569101265,0,0,stable_wrong,1091,The Thing,The Thing,Horror,15000000,109.0,indie,0.37080745341614907,12,41,1,0,John Carpenter,medium,budget_low,high_confidence_failure
flop,average,average,0.3760023783115568,0.3257273757255834,0.29827024596285967,0.792509540421667,0.08598656908837402,0.12150389048995891,0.3760023783115568,0.792509540421667,0.3257273757255834,0.08598656908837402,-0.2397408066372094,0,0,stable_wrong,4421,G.I. Jane,G.I. Jane,Action,50000000,125.0,large_scale,0.3826086956521739,14,16,0,0,Ridley Scott,long,budget_high,high_confidence_failure
flop,average,average,0.3638959021086382,0.32751483735754816,0.30858926053381364,0.7828621831331691,0.07495596875647595,0.14218184811035495,0.3638959021086382,0.7828621831331691,0.32751483735754816,0.07495596875647595,-0.25255886860107224,0,0,stable_wrong,10534,White Squall,White Squall,Action,38000000,129.0,mid_scale,0.3826086956521739,15,10,0,0,Ridley Scott,long,budget_mid,high_confidence_failure
average,flop,flop,0.23662340807362567,0.44891003657056106,0.31446655535581325,0.13871630659166836,0.7556403131697104,0.10564338023862126,0.44891003657056106,0.7556403131697104,0.23662340807362567,0.13871630659166836,-0.0979071014819573,0,0,stable_wrong,13001,Stargate: The Ark of Truth,Stargate: The Ark of Truth,Adventure,7000000,97.0,indie,0.0,10,21,0,0,Robert C. Cooper,medium,budget_low,high_confidence_failure
hit,flop,flop,0.26740501643592346,0.5667040754109604,0.16589090815311616,0.17560636894723247,0.7388965060724384,0.0854971249803292,0.5667040754109604,0.7388965060724384,0.16589090815311616,0.0854971249803292,-0.08039378317278696,0,0,stable_wrong,16608,The Proposition,The Proposition,Action,2000000,104.0,large_scale,0.015217391304347825,24,34,0,0,John Hillcoat,medium,budget_low,high_confidence_failure
average,flop,flop,0.2829713973996583,0.49894058435847577,0.21808801824186602,0.2202147595556574,0.7133141050645275,0.06647113537981504,0.49894058435847577,0.7133141050645275,0.2829713973996583,0.2202147595556574,-0.06275663784400093,0,0,stable_wrong,8975,The Marine,The Marine,Action,20000000,92.0,mid_scale,0.0,10,57,0,0,John Bonito,medium,budget_mid,high_confidence_failure
