y_true,y_pred_baseline,y_pred_credits,base_p_average,base_p_flop,base_p_hit,p_average,p_flop,p_hit,base_confidence,confidence,p_true_baseline,p_true_credits,delta_p_true,baseline_correct,credits_correct,transition,id,title,original_title,main_genre,budget,runtime,production_scale,talent_score,cast_size,crew_size,known_actor_count,possible_franchise_flag,director_name,runtime_bucket,budget_bucket
hit,average,hit,0.5770435289209062,0.11050912940106385,0.31244734167802996,0.3562648567206188,0.17777655456234795,0.46595858871703333,0.5770435289209062,0.46595858871703333,0.31244734167802996,0.46595858871703333,0.15351124703900337,0,1,wrong_to_correct,168259,Furious 7,Furious 7,Action,190000000,137.0,large_scale,0.2046583850931677,52,98,2,0,James Wan,long,budget_high
hit,hit,hit,0.2861504443568391,0.3308884372237001,0.3829611184194608,0.1745420596938377,0.4052924621923514,0.42016547811381094,0.3829611184194608,0.42016547811381094,0.3829611184194608,0.42016547811381094,0.03720435969435015,1,1,stable_correct,55123,Tumbleweeds,Tumbleweeds,Comedy,312000,102.0,indie,0.0608695652173913,3,1,0,0,Gavin O'Connor,medium,budget_low
hit,hit,flop,0.18728390150332347,0.390418850524112,0.4222972479725644,0.19315983473751633,0.48115718751007813,0.32568297775240546,0.4222972479725644,0.48115718751007813,0.4222972479725644,0.32568297775240546,-0.09661427022015895,1,0,correct_to_wrong,286565,Paper Towns,Paper Towns,Drama,12000000,109.0,indie,0.015217391304347825,25,13,0,0,Jake Schreier,medium,budget_low
hit,average,average,0.3942713275106267,0.2384523675492123,0.36727630494016084,0.4512478057666679,0.3639235589684241,0.184828635264908,0.3942713275106267,0.4512478057666679,0.36727630494016084,0.184828635264908,-0.18244766967525283,0,0,stable_wrong,153518,The Angry Birds Movie,The Angry Birds Movie,Family,73000000,97.0,large_scale,0.0,32,6,0,0,Fergal Reilly,medium,budget_high
flop,flop,flop,0.3319562241881565,0.4018101808432734,0.26623359496857,0.3681930448268036,0.42294503260992666,0.2088619225632697,0.4018101808432734,0.42294503260992666,0.4018101808432734,0.42294503260992666,0.02113485176665325,1,1,stable_correct,137094,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,Action,60000000,105.0,large_scale,0.09472049689440992,29,31,1,0,Kenneth Branagh,medium,budget_high
hit,hit,flop,0.35688407663360555,0.25528895492058445,0.38782696844580994,0.27016627921177133,0.41310780554061394,0.3167259152476149,0.38782696844580994,0.41310780554061394,0.38782696844580994,0.3167259152476149,-0.07110105319819504,1,0,correct_to_wrong,264999,Magic Mike XXL,Magic Mike XXL,Comedy,14800000,115.0,indie,0.0,54,21,0,0,Gregory Jacobs,medium,budget_low
flop,average,hit,0.37173571991243415,0.36290751417105976,0.2653567659165062,0.36847329720364946,0.0790446479142912,0.5524820548820594,0.37173571991243415,0.5524820548820594,0.36290751417105976,0.0790446479142912,-0.2838628662567686,0,0,stable_wrong,522,Ed Wood,Ed Wood,Comedy,18000000,127.0,indie,0.4959627329192547,68,52,2,0,Tim Burton,long,budget_mid
flop,average,flop,0.349955189236363,0.3482698765696666,0.30177493419397045,0.33128408942681997,0.4742193383678995,0.19449657220528058,0.349955189236363,0.4742193383678995,0.3482698765696666,0.4742193383678995,0.12594946179823285,0,1,wrong_to_correct,1909,Don Juan DeMarco,Don Juan DeMarco,Romance,25000000,97.0,indie,0.06428571428571428,13,12,1,0,Jeremy Leven,medium,budget_mid
hit,hit,hit,0.21045798270142227,0.14563199688643114,0.6439100204121465,0.06182363924489461,0.053689459229745315,0.8844869015253601,0.6439100204121465,0.8844869015253601,0.6439100204121465,0.8844869015253601,0.24057688111321363,1,1,stable_correct,1547,The Lost Boys,The Lost Boys,Horror,8500000,97.0,indie,0.3521739130434782,27,61,0,0,Joel Schumacher,medium,budget_low
hit,hit,hit,0.23280286680961443,0.2147036310631924,0.5524935021271932,0.262062685342802,0.3281380072481422,0.4097993074090558,0.5524935021271932,0.4097993074090558,0.5524935021271932,0.4097993074090558,-0.14269419471813738,1,1,stable_correct,24021,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,Adventure,68000000,124.0,large_scale,0.03043478260869565,42,39,0,0,David Slade,long,budget_high
hit,flop,flop,0.20637056602453896,0.4700124122847307,0.3236170216907303,0.19091232919885012,0.42309193399293865,0.3859957368082113,0.4700124122847307,0.42309193399293865,0.3236170216907303,0.3859957368082113,0.062378715117481,0,0,stable_wrong,11873,The Color of Money,The Color of Money,Drama,13800000,119.0,indie,0.5111801242236025,49,7,2,0,Martin Scorsese,medium,budget_low
flop,average,average,0.3707400399885903,0.2774245612553236,0.35183539875608616,0.44183115592475397,0.43117484729850925,0.1269939967767368,0.3707400399885903,0.44183115592475397,0.2774245612553236,0.43117484729850925,0.15375028604318564,0,0,stable_wrong,8870,Red Planet,Red Planet,Thriller,80000000,106.0,large_scale,0.0,9,93,0,0,Antony Hoffman,medium,budget_high
hit,flop,hit,0.3235497324121667,0.4098852763511946,0.2665649912366386,0.059308381903935684,0.26004638010437076,0.6806452379916935,0.4098852763511946,0.6806452379916935,0.2665649912366386,0.6806452379916935,0.4140802467550549,0,1,wrong_to_correct,18712,Sands of Iwo Jima,Sands of Iwo Jima,Action,1000000,100.0,indie,0.0,49,6,0,0,Allan Dwan,medium,budget_low
flop,flop,flop,0.29429721911177337,0.461978230143582,0.2437245507446446,0.24875184477567452,0.5125405710377712,0.23870758418655424,0.461978230143582,0.5125405710377712,0.461978230143582,0.5125405710377712,0.05056234089418915,1,1,stable_correct,7512,Idiocracy,Idiocracy,Adventure,30000000,84.0,indie,0.0795031055900621,53,7,1,0,Mike Judge,short,budget_mid
flop,average,flop,0.4069699255033138,0.34830885737446654,0.24472121712221978,0.291577475138138,0.564394881868055,0.14402764299380705,0.4069699255033138,0.564394881868055,0.34830885737446654,0.564394881868055,0.21608602449358844,0,1,wrong_to_correct,38541,The Divide,The Divide,Science Fiction,3000000,112.0,large_scale,0.015217391304347825,10,35,0,0,Xavier Gens,medium,budget_low
flop,average,flop,0.3745923026475178,0.2775486533255862,0.347859044026896,0.33287883892328807,0.3642162286634828,0.30290493241322913,0.3745923026475178,0.3642162286634828,0.2775486533255862,0.3642162286634828,0.0866675753378966,0,1,wrong_to_correct,228967,The Interview,The Interview,Action,44000000,112.0,indie,0.14378881987577638,38,24,2,0,Seth Rogen,medium,budget_high
hit,flop,flop,0.35384551638515016,0.47594720818673797,0.1702072754281119,0.34178824806012736,0.5507780115954223,0.10743374034445048,0.47594720818673797,0.5507780115954223,0.1702072754281119,0.10743374034445048,-0.06277353508366142,0,0,stable_wrong,9470,Kung Fu Hustle,功夫,Action,20000000,99.0,indie,0.0,17,19,0,0,Stephen Chow,medium,budget_mid
hit,hit,average,0.23767483892017077,0.31823221751070196,0.4440929435691274,0.5783358179945216,0.07442338477614843,0.34724079722933,0.4440929435691274,0.5783358179945216,0.4440929435691274,0.34724079722933,-0.09685214633979738,1,0,correct_to_wrong,87502,Flight,Flight,Drama,31000000,138.0,mid_scale,0.5111801242236025,18,72,2,0,Robert Zemeckis,long,budget_mid
flop,average,flop,0.34452649094853155,0.32917053796251566,0.3263029710889528,0.2848373963816822,0.5447520436743055,0.17041055994401222,0.34452649094853155,0.5447520436743055,0.32917053796251566,0.5447520436743055,0.21558150571178986,0,1,wrong_to_correct,13996,Bottle Shock,Bottle Shock,Comedy,5000000,110.0,indie,0.0,12,3,0,0,Randall Miller,medium,budget_low
hit,average,flop,0.3683732527514195,0.29476661652590674,0.33686013072267373,0.32935559991357266,0.5267586362947705,0.14388576379165677,0.3683732527514195,0.5267586362947705,0.33686013072267373,0.14388576379165677,-0.19297436693101697,0,0,stable_wrong,8780,Baby Mama,Baby Mama,Comedy,30000000,99.0,indie,0.0,19,10,0,0,Michael McCullers,medium,budget_mid
hit,hit,hit,0.33868163987688504,0.29424539218774437,0.3670729679353706,0.3783478611060924,0.20030645845823986,0.4213456804356677,0.3670729679353706,0.4213456804356677,0.3670729679353706,0.4213456804356677,0.05427271250029714,1,1,stable_correct,868,Tsotsi,Tsotsi,Crime,3000000,94.0,mid_scale,0.04565217391304347,16,14,0,0,Gavin Hood,medium,budget_low
flop,hit,flop,0.3180551440548963,0.28609542149711265,0.3958494344479911,0.3605485917700721,0.49110041584226893,0.14835099238765895,0.3958494344479911,0.49110041584226893,0.28609542149711265,0.49110041584226893,0.2050049943451563,0,1,wrong_to_correct,192136,Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,Drama,35000000,141.0,large_scale,0.0,15,10,0,0,Justin Chadwick,long,budget_mid
hit,average,hit,0.4060137789038912,0.29541034487770934,0.29857587621839954,0.3078082904485871,0.1631363408529377,0.5290553686984752,0.4060137789038912,0.5290553686984752,0.29857587621839954,0.5290553686984752,0.2304794924800757,0,1,wrong_to_correct,132344,Before Midnight,Before Midnight,Romance,3000000,108.0,mid_scale,0.3065217391304348,17,35,0,0,Richard Linklater,medium,budget_low
flop,flop,flop,0.3338500494285158,0.40326582282877027,0.26288412774271397,0.3102637011716903,0.5765199434743872,0.11321635535392265,0.40326582282877027,0.5765199434743872,0.40326582282877027,0.5765199434743872,0.1732541206456169,1,1,stable_correct,34341,Men with Brooms,Men with Brooms,Comedy,7500000,102.0,indie,0.0,12,1,0,0,Paul Gross,medium,budget_low
hit,hit,average,0.3125882752170884,0.16920031421285028,0.5182114105700614,0.38131125513322894,0.27028654407957176,0.34840220078719925,0.5182114105700614,0.38131125513322894,0.5182114105700614,0.34840220078719925,-0.16980920978286212,1,0,correct_to_wrong,121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,Adventure,79000000,179.0,mid_scale,0.3065217391304348,34,36,0,0,Peter Jackson,long,budget_high
hit,average,hit,0.4360009781644853,0.24769614436177415,0.3163028774737404,0.3943921803018891,0.12388683016864797,0.48172098952946285,0.4360009781644853,0.48172098952946285,0.3163028774737404,0.48172098952946285,0.16541811205572243,0,1,wrong_to_correct,1824,50 First Dates,50 First Dates,Comedy,75000000,99.0,mid_scale,0.18944099378881984,55,108,2,0,Peter Segal,medium,budget_high
hit,flop,hit,0.18766069207924427,0.5181359379640446,0.2942033699567111,0.133429198590004,0.3951593867829154,0.47141141462708064,0.5181359379640446,0.47141141462708064,0.2942033699567111,0.47141141462708064,0.17720804467036955,0,1,wrong_to_correct,9372,Super Size Me,Super Size Me,Documentary,65000,100.0,indie,0.0,15,8,0,0,Morgan Spurlock,medium,budget_low
hit,flop,flop,0.299937727084135,0.3667287477508687,0.33333352516499637,0.3292613784135437,0.46233958624286703,0.20839903534358922,0.3667287477508687,0.46233958624286703,0.33333352516499637,0.20839903534358922,-0.12493448982140715,0,0,stable_wrong,1259,Notes on a Scandal,Notes on a Scandal,Drama,15000000,92.0,large_scale,0.06428571428571428,23,15,1,0,Richard Eyre,medium,budget_low
flop,flop,flop,0.3152042504555157,0.46063169658245634,0.22416405296202793,0.34393700970523566,0.36320317099070065,0.29285981930406363,0.46063169658245634,0.36320317099070065,0.46063169658245634,0.36320317099070065,-0.09742852559175569,1,1,stable_correct,34584,The NeverEnding Story,The Neverending Story,Drama,27000000,102.0,large_scale,0.07608695652173912,17,24,0,0,Wolfgang Petersen,medium,budget_mid
flop,average,average,0.4393042150874175,0.21613413359455938,0.3445616513180232,0.497745448636427,0.30930002142676893,0.19295452993680393,0.4393042150874175,0.497745448636427,0.21613413359455938,0.30930002142676893,0.09316588783220955,0,0,stable_wrong,9932,Analyze That,Analyze That,Comedy,60000000,96.0,large_scale,0.12515527950310557,10,15,1,0,Harold Ramis,medium,budget_high
flop,flop,flop,0.3183298849943208,0.5339689793498038,0.1477011356558754,0.35974814844285397,0.5621155288079048,0.07813632274924118,0.5339689793498038,0.5621155288079048,0.5339689793498038,0.5621155288079048,0.028146549458101022,1,1,stable_correct,9616,The Order,The Order,Drama,35000000,102.0,mid_scale,0.0608695652173913,10,85,0,0,Brian Helgeland,medium,budget_mid
hit,average,flop,0.38477906865706596,0.28649030892864136,0.3287306224142927,0.24167250701756626,0.6549539212891854,0.10337357169324837,0.38477906865706596,0.6549539212891854,0.3287306224142927,0.10337357169324837,-0.2253570507210443,0,0,stable_wrong,11395,The Santa Clause,The Santa Clause,Fantasy,22000000,97.0,indie,0.0,11,8,0,0,John Pasquin,medium,budget_mid
hit,average,flop,0.44331364073938956,0.3058277963060455,0.2508585629545648,0.3203861295496976,0.6054704173005201,0.07414345314978234,0.44331364073938956,0.6054704173005201,0.2508585629545648,0.07414345314978234,-0.1767151098047825,0,0,stable_wrong,9383,Hollow Man,Hollow Man,Action,95000000,112.0,indie,0.10993788819875774,10,13,1,0,Paul Verhoeven,medium,budget_high
average,average,average,0.41920468155330987,0.34397369804608496,0.2368216204006052,0.42844810063774225,0.3354143496919931,0.23613754967026473,0.41920468155330987,0.42844810063774225,0.41920468155330987,0.42844810063774225,0.00924341908443238,1,1,stable_correct,70868,I Don't Know How She Does It,I Don't Know How She Does It,Romance,24000000,89.0,indie,0.0795031055900621,14,4,1,0,Douglas McGrath,short,budget_mid
flop,hit,flop,0.10525114343462844,0.16392810976648,0.7308207467988916,0.165541897536549,0.42455901478642133,0.40989908767702976,0.7308207467988916,0.42455901478642133,0.16392810976648,0.42455901478642133,0.26063090501994135,0,1,wrong_to_correct,75531,Isn't She Great,Isn't She Great,Drama,36000000,95.0,large_scale,0.015217391304347825,8,9,0,0,Andrew Bergman,medium,budget_mid
flop,flop,flop,0.23322140708051797,0.499151802661351,0.2676267902581309,0.19801350426252837,0.5928289265804103,0.20915756915706132,0.499151802661351,0.5928289265804103,0.499151802661351,0.5928289265804103,0.0936771239190593,1,1,stable_correct,50875,Higher Ground,Higher Ground,Drama,2000000,109.0,indie,0.0,16,1,0,0,Vera Farmiga,medium,budget_low
hit,hit,hit,0.320086577314821,0.20217483968058134,0.4777385830045977,0.42828435172845253,0.12319546418338533,0.44852018408816224,0.4777385830045977,0.44852018408816224,0.4777385830045977,0.44852018408816224,-0.029218398916435462,1,1,stable_correct,9637,Scooby-Doo,Scooby-Doo,Mystery,84000000,88.0,mid_scale,0.0608695652173913,11,118,0,0,Raja Gosnell,short,budget_high
flop,hit,hit,0.1994808072047012,0.39156896579334177,0.408950227001957,0.30342259593446697,0.3134600588823915,0.3831173451831415,0.408950227001957,0.3831173451831415,0.39156896579334177,0.3134600588823915,-0.0781089069109503,0,0,stable_wrong,19255,Away We Go,Away We Go,Drama,17000000,98.0,mid_scale,0.0608695652173913,17,43,0,0,Sam Mendes,medium,budget_mid
flop,flop,flop,0.31932302867090123,0.3701917661152408,0.31048520521385803,0.2297424137841744,0.5842033851050843,0.18605420111074122,0.3701917661152408,0.5842033851050843,0.3701917661152408,0.5842033851050843,0.2140116189898435,1,1,stable_correct,188207,The Legend of Hercules,The Legend of Hercules,Action,70000000,99.0,indie,0.3826086956521739,19,54,0,0,Renny Harlin,medium,budget_high
hit,flop,flop,0.3040586753156362,0.5729205223913625,0.12302080229300141,0.31817559398991446,0.5253804964612997,0.15644390954878576,0.5729205223913625,0.5253804964612997,0.12302080229300141,0.15644390954878576,0.033423107255784346,0,0,stable_wrong,44865,The Grandmaster,一代宗師,Action,3860000,130.0,large_scale,0.03043478260869565,14,10,0,0,Wong Kar-wai,long,budget_low
hit,average,average,0.47724174468148445,0.16082974941141348,0.3619285059071021,0.5018889087979842,0.04648678253891975,0.45162430866309616,0.47724174468148445,0.5018889087979842,0.3619285059071021,0.45162430866309616,0.08969580275599404,0,0,stable_wrong,435,The Day After Tomorrow,The Day After Tomorrow,Action,125000000,124.0,large_scale,0.1555900621118012,27,228,1,0,Roland Emmerich,long,budget_high
average,flop,flop,0.24000408479904178,0.45970305715673837,0.3002928580442199,0.35038561024830456,0.38209376397272227,0.2675206257789732,0.45970305715673837,0.38209376397272227,0.24000408479904178,0.35038561024830456,0.11038152544926277,0,0,stable_wrong,7445,Brothers,Brothers,Drama,26000000,104.0,large_scale,0.03043478260869565,24,65,0,0,Jim Sheridan,medium,budget_mid
flop,average,average,0.47699007525173776,0.17152189495940395,0.35148802978885824,0.4951126133964808,0.3367971814175352,0.16809020518598392,0.47699007525173776,0.4951126133964808,0.17152189495940395,0.3367971814175352,0.16527528645813122,0,0,stable_wrong,49852,The Nutcracker: The Untold Story,The Nutcracker: The Untold Story,Fantasy,90000000,110.0,mid_scale,0.0795031055900621,12,3,1,0,Andrei Konchalovsky,medium,budget_high
hit,flop,hit,0.2515248723552798,0.38880146729527965,0.3596736603494405,0.22778987137691728,0.35883755860533445,0.41337257001774835,0.38880146729527965,0.41337257001774835,0.3596736603494405,0.41337257001774835,0.05369890966830787,0,1,wrong_to_correct,2001,We Own the Night,We Own the Night,Drama,21000000,117.0,mid_scale,0.14378881987577638,92,31,2,0,James Gray,medium,budget_mid
average,hit,hit,0.14279607968526045,0.12141939728099949,0.7357845230337402,0.1056035239942478,0.0907785405682489,0.8036179354375033,0.7357845230337402,0.8036179354375033,0.14279607968526045,0.1056035239942478,-0.03719255569101265,0,0,stable_wrong,1091,The Thing,The Thing,Horror,15000000,109.0,indie,0.37080745341614907,12,41,1,0,John Carpenter,medium,budget_low
hit,hit,average,0.3877852644442471,0.1865868260139264,0.42562790954182644,0.4933813363073186,0.18008870405846655,0.3265299596342148,0.42562790954182644,0.4933813363073186,0.42562790954182644,0.3265299596342148,-0.09909794990761167,1,0,correct_to_wrong,9291,The Longest Yard,The Longest Yard,Comedy,82000000,113.0,large_scale,0.12515527950310557,32,19,1,0,Peter Segal,medium,budget_high
flop,average,average,0.3638959021086382,0.32751483735754816,0.30858926053381364,0.7828621831331691,0.07495596875647595,0.14218184811035495,0.3638959021086382,0.7828621831331691,0.32751483735754816,0.07495596875647595,-0.25255886860107224,0,0,stable_wrong,10534,White Squall,White Squall,Action,38000000,129.0,mid_scale,0.3826086956521739,15,10,0,0,Ridley Scott,long,budget_mid
flop,flop,flop,0.344621970765961,0.3466368958039871,0.30874113343005183,0.3806566711943872,0.3863705783972114,0.23297275040840143,0.3466368958039871,0.3863705783972114,0.3466368958039871,0.3863705783972114,0.039733682593224295,1,1,stable_correct,25704,Post Grad,Post Grad,Comedy,15000000,89.0,mid_scale,0.0,31,56,0,0,Vicky Jenson,short,budget_low
average,average,flop,0.42613956453377855,0.29226540882959806,0.2815950266366233,0.3444537271814215,0.44406066724815163,0.21148560557042695,0.42613956453377855,0.44406066724815163,0.42613956453377855,0.3444537271814215,-0.08168583735235707,1,0,correct_to_wrong,11431,Fever Pitch,Fever Pitch,Comedy,30000000,103.0,large_scale,0.4164596273291925,30,26,1,0,Bobby Farrelly,medium,budget_mid
hit,hit,flop,0.1389358288956395,0.24217561864233877,0.6188885524620217,0.15580296110971056,0.44232450863132666,0.40187253025896275,0.6188885524620217,0.44232450863132666,0.6188885524620217,0.40187253025896275,-0.21701602220305893,1,0,correct_to_wrong,31175,Soul Kitchen,Soul Kitchen,Drama,5000000,99.0,indie,0.0,18,2,0,0,Fatih Akin,medium,budget_low
hit,hit,hit,0.162277268609083,0.30144320261847973,0.5362795287724372,0.18909609410702963,0.26775411554494083,0.5431497903480296,0.5362795287724372,0.5431497903480296,0.5362795287724372,0.5431497903480296,0.00687026157559234,1,1,stable_correct,1777,Fahrenheit 9/11,Fahrenheit 9/11,Documentary,6000000,122.0,indie,0.18944099378881984,17,5,2,0,Michael Moore,long,budget_low
hit,flop,hit,0.3534516284571567,0.417317461572501,0.22923090997034234,0.1344391166989852,0.2533680765430794,0.6121928067579353,0.417317461572501,0.6121928067579353,0.22923090997034234,0.6121928067579353,0.38296189678759296,0,1,wrong_to_correct,3080,Top Hat,Top Hat,Comedy,609000,101.0,indie,0.0,8,20,0,0,Mark Sandrich,medium,budget_low
hit,flop,flop,0.24087878595087636,0.675688434770065,0.08343277927905857,0.1032368285389141,0.5672094941595975,0.32955367730148843,0.675688434770065,0.5672094941595975,0.08343277927905857,0.32955367730148843,0.24612089802242987,0,0,stable_wrong,11426,From Here to Eternity,From Here to Eternity,War,1650000,118.0,indie,0.03043478260869565,17,22,0,0,Fred Zinnemann,medium,budget_low
hit,hit,hit,0.3422056767728404,0.22390202099091452,0.4338923022362451,0.19741245015148712,0.04272759029054809,0.7598599595579649,0.4338923022362451,0.7598599595579649,0.4338923022362451,0.7598599595579649,0.32596765732171984,1,1,stable_correct,227306,Unbroken,Unbroken,Drama,65000000,137.0,mid_scale,0.03043478260869565,79,92,0,1,Angelina Jolie,long,budget_high
hit,flop,flop,0.30992256407775653,0.38715091421575687,0.3029265217064866,0.2821050580551329,0.4182219555685363,0.2996729863763308,0.38715091421575687,0.4182219555685363,0.3029265217064866,0.2996729863763308,-0.003253535330155821,0,0,stable_wrong,9895,Man of the Year,Man of the Year,Comedy,20000000,115.0,indie,0.2046583850931677,28,17,2,0,Barry Levinson,medium,budget_mid
hit,hit,hit,0.2751896951118464,0.20906807043159567,0.515742234456558,0.3189086724100296,0.2757003851137068,0.40539094247626356,0.515742234456558,0.40539094247626356,0.515742234456558,0.40539094247626356,-0.11035129198029442,1,1,stable_correct,1562,28 Weeks Later,28 Weeks Later,Horror,15000000,100.0,large_scale,0.0,52,61,0,0,Juan Carlos Fresnadillo,medium,budget_low
flop,hit,flop,0.21359382353364764,0.352864446634475,0.4335417298318772,0.2968321786192029,0.4366533670670022,0.2665144543137949,0.4335417298318772,0.4366533670670022,0.352864446634475,0.4366533670670022,0.08378892043252717,0,1,wrong_to_correct,9009,Dark Water,Dark Water,Drama,30000000,105.0,mid_scale,0.09472049689440992,12,17,1,0,Walter Salles,medium,budget_mid
average,hit,flop,0.2894682098988153,0.32121971116683157,0.38931207893435316,0.20154048015123602,0.6698762684550057,0.12858325139375829,0.38931207893435316,0.6698762684550057,0.2894682098988153,0.20154048015123602,-0.08792772974757926,0,0,stable_wrong,13435,Antwone Fisher,Antwone Fisher,Drama,12500000,120.0,indie,0.06428571428571428,10,9,1,0,Denzel Washington,medium,budget_low
hit,hit,average,0.32271319076899285,0.3000758384521139,0.3772109707788932,0.39441344391013294,0.33065418504505495,0.2749323710448121,0.3772109707788932,0.39441344391013294,0.3772109707788932,0.2749323710448121,-0.1022785997340811,1,0,correct_to_wrong,38167,Eat Pray Love,Eat Pray Love,Drama,60000000,133.0,mid_scale,0.20807453416149066,19,16,3,0,Ryan Murphy,long,budget_high
hit,hit,flop,0.3325264618390095,0.3140013601876368,0.3534721779733537,0.3644506745580062,0.4404446331508868,0.1951046922911071,0.3534721779733537,0.4404446331508868,0.3534721779733537,0.1951046922911071,-0.15836748568224657,1,0,correct_to_wrong,10377,My Cousin Vinny,My Cousin Vinny,Comedy,11000000,120.0,mid_scale,0.09472049689440992,11,13,1,0,Jonathan Lynn,medium,budget_low
flop,flop,flop,0.28310707483729763,0.49303601517208406,0.22385690999061822,0.16157985329061175,0.7829184543090337,0.05550169240035447,0.49303601517208406,0.7829184543090337,0.49303601517208406,0.7829184543090337,0.28988243913694967,1,1,stable_correct,168705,BloodRayne,BloodRayne,Action,25000000,95.0,indie,0.0795031055900621,11,2,1,0,Uwe Boll,medium,budget_mid
